"Counting","CITP Australian Citizenship","CED (UR)","AGE5P - Age in Five Year Groups","Count"
"Persons, Place of Usual Residence","Australian","Aston","0-4 years",7247
"Persons, Place of Usual Residence","Australian","Aston","5-9 years",7142
"Persons, Place of Usual Residence","Australian","Aston","10-14 years",7176
"Persons, Place of Usual Residence","Australian","Aston","15-19 years",8019
"Persons, Place of Usual Residence","Australian","Aston","20-24 years",8253
"Persons, Place of Usual Residence","Australian","Aston","25-29 years",6934
"Persons, Place of Usual Residence","Australian","Aston","30-34 years",6935
"Persons, Place of Usual Residence","Australian","Aston","35-39 years",7081
"Persons, Place of Usual Residence","Australian","Aston","40-44 years",7597
"Persons, Place of Usual Residence","Australian","Aston","45-49 years",8325
"Persons, Place of Usual Residence","Australian","Aston","50-54 years",8461
"Persons, Place of Usual Residence","Australian","Aston","55-59 years",8046
"Persons, Place of Usual Residence","Australian","Aston","60-64 years",7090
"Persons, Place of Usual Residence","Australian","Aston","65-69 years",5994
"Persons, Place of Usual Residence","Australian","Aston","70-74 years",4130
"Persons, Place of Usual Residence","Australian","Aston","75-79 years",3079
"Persons, Place of Usual Residence","Australian","Aston","80-84 years",1997
"Persons, Place of Usual Residence","Australian","Aston","85-89 years",1345
"Persons, Place of Usual Residence","Australian","Aston","90-94 years",642
"Persons, Place of Usual Residence","Australian","Aston","95-99 years",162
"Persons, Place of Usual Residence","Australian","Aston","100 years and over",16
"Persons, Place of Usual Residence","Australian","Ballarat","0-4 years",8959
"Persons, Place of Usual Residence","Australian","Ballarat","5-9 years",9530
"Persons, Place of Usual Residence","Australian","Ballarat","10-14 years",8887
"Persons, Place of Usual Residence","Australian","Ballarat","15-19 years",9060
"Persons, Place of Usual Residence","Australian","Ballarat","20-24 years",8923
"Persons, Place of Usual Residence","Australian","Ballarat","25-29 years",7922
"Persons, Place of Usual Residence","Australian","Ballarat","30-34 years",7768
"Persons, Place of Usual Residence","Australian","Ballarat","35-39 years",8033
"Persons, Place of Usual Residence","Australian","Ballarat","40-44 years",8907
"Persons, Place of Usual Residence","Australian","Ballarat","45-49 years",9357
"Persons, Place of Usual Residence","Australian","Ballarat","50-54 years",9292
"Persons, Place of Usual Residence","Australian","Ballarat","55-59 years",9062
"Persons, Place of Usual Residence","Australian","Ballarat","60-64 years",8543
"Persons, Place of Usual Residence","Australian","Ballarat","65-69 years",8039
"Persons, Place of Usual Residence","Australian","Ballarat","70-74 years",5807
"Persons, Place of Usual Residence","Australian","Ballarat","75-79 years",4005
"Persons, Place of Usual Residence","Australian","Ballarat","80-84 years",2868
"Persons, Place of Usual Residence","Australian","Ballarat","85-89 years",1877
"Persons, Place of Usual Residence","Australian","Ballarat","90-94 years",850
"Persons, Place of Usual Residence","Australian","Ballarat","95-99 years",195
"Persons, Place of Usual Residence","Australian","Ballarat","100 years and over",26
"Persons, Place of Usual Residence","Australian","Batman","0-4 years",8074
"Persons, Place of Usual Residence","Australian","Batman","5-9 years",7388
"Persons, Place of Usual Residence","Australian","Batman","10-14 years",6492
"Persons, Place of Usual Residence","Australian","Batman","15-19 years",6278
"Persons, Place of Usual Residence","Australian","Batman","20-24 years",8460
"Persons, Place of Usual Residence","Australian","Batman","25-29 years",9542
"Persons, Place of Usual Residence","Australian","Batman","30-34 years",10176
"Persons, Place of Usual Residence","Australian","Batman","35-39 years",9683
