Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"CED (UR) by AGEP Age by CITP Australian Citizenship"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"
"CITP Australian Citizenship","Australian"

"AGEP Age","15","16","17","18","19","20","21","22","23","24","25","Total",
"CED (UR)",
"Aston",1484,1647,1601,1646,1632,1705,1688,1666,1634,1554,1457,17728,
"Ballarat",1777,1777,1910,1814,1779,1845,1938,1788,1683,1674,1688,19675,
"Batman",1154,1218,1148,1253,1509,1574,1702,1668,1701,1818,1815,16556,
"Bendigo",1708,1681,1722,1688,1624,1664,1808,1620,1582,1569,1465,18131,
"Bruce",1326,1427,1311,1492,1439,1491,1484,1460,1369,1355,1316,15468,
"Calwell",2084,2028,2100,2182,2124,2133,2126,2074,2072,1933,1931,22783,
"Casey",1659,1760,1689,1694,1671,1672,1594,1485,1584,1511,1607,17926,
"Chisholm",1374,1344,1428,1642,2012,1941,1824,1719,1491,1412,1350,17523,
"Corangamite",1688,1660,1702,1719,1678,1704,1706,1552,1398,1384,1315,17516,
"Corio",1561,1681,1763,1636,1601,1610,1701,1730,1645,1673,1643,18235,
"Deakin",1457,1441,1408,1463,1405,1316,1456,1401,1368,1316,1279,15316,
"Dunkley",1534,1531,1597,1491,1450,1508,1549,1493,1500,1385,1477,16512,
"Flinders",1601,1598,1663,1577,1561,1435,1401,1433,1270,1334,1235,16113,
"Gellibrand",1279,1345,1293,1324,1433,1439,1467,1475,1594,1669,1656,15972,
"Gippsland",1505,1542,1606,1445,1270,1266,1288,1372,1275,1318,1348,15243,
"Goldstein",1616,1704,1703,1470,1459,1377,1413,1419,1221,1185,1114,15689,
"Gorton",2174,2205,2245,2075,2133,2114,1991,2066,2015,1921,2011,22943,
"Higgins",1213,1267,1191,1239,1311,1516,1636,1646,1772,1812,1919,16520,
"Holt",2115,2205,2198,2126,2110,2161,2178,2178,2159,2170,2092,23706,
"Hotham",1437,1428,1362,1415,1444,1476,1447,1442,1329,1295,1219,15284,
"Indi",1667,1568,1588,1482,1334,1234,1226,1192,1250,1203,1131,14878,
"Isaacs",1561,1561,1580,1582,1647,1586,1580,1557,1503,1527,1453,17130,
"Jagajaga",1419,1561,1514,1559,1538,1493,1593,1508,1415,1340,1408,16349,
"Kooyong",1670,1699,1622,1719,1715,1872,1835,1793,1745,1715,1576,18961,
"La Trobe",2083,2116,2171,2053,2079,1869,1866,1803,1697,1582,1518,20835,
"Lalor",2222,2099,2204,2083,2026,2137,2056,2038,1900,1978,1953,22690,
"Mallee",1640,1641,1702,1496,1236,1220,1228,1211,1241,1319,1357,15285,
"Maribyrnong",1569,1615,1527,1549,1628,1724,1827,1754,1830,1726,1754,18499,
"McEwen",2420,2499,2509,2365,2289,2246,2186,2108,2131,2176,2314,25234,
"McMillan",1847,1887,1937,1814,1652,1536,1600,1591,1696,1609,1629,18789,
"Melbourne",710,731,740,1325,1950,1981,2074,2271,2502,2792,3253,20325,
"Melbourne Ports",868,860,798,844,905,1083,1216,1378,1497,1696,1983,13115,
"Menzies",1524,1499,1585,1636,1587,1520,1557,1433,1408,1296,1240,16287,
"Murray",1630,1763,1762,1624,1399,1275,1140,1252,1262,1265,1282,15660,
"Scullin",1706,1804,1809,1871,1944,1882,1967,1929,1860,1713,1739,20233,
"Wannon",1531,1500,1553,1478,1319,1172,1234,1220,1152,1164,1088,14412,
"Wills",1228,1213,1261,1288,1426,1631,1838,1964,2045,2063,2256,18223,
"No usual address (Vic.)",24,32,33,66,60,69,87,80,86,87,104,724,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,
"Banks",1614,1545,1649,1613,1580,1619,1564,1509,1517,1439,1433,17092,
"Barton",1450,1395,1441,1423,1466,1493,1485,1483,1501,1487,1578,16203,
"Bennelong",1455,1562,1518,1535,1742,1683,1689,1652,1619,1495,1451,17400,
"Berowra",1893,2008,1992,1962,1785,1838,1741,1617,1532,1373,1205,18935,
"Blaxland",1871,1892,1823,1843,1899,1892,1858,1824,1803,1714,1725,20160,
"Bradfield",2050,2048,2099,1794,1694,1648,1601,1434,1323,1312,1141,18156,
"Calare",1936,1973,1914,1807,1700,1628,1639,1614,1473,1562,1574,18816,
"Chifley",2061,2196,2106,2053,2084,2082,2057,1935,1957,1885,1864,22277,
"Cook",1452,1493,1495,1406,1422,1358,1374,1367,1308,1405,1395,15479,
"Cowper",1710,1851,1834,1527,1398,1259,1314,1228,1269,1271,1225,15882,
"Cunningham",1616,1612,1663,1860,2054,2052,2134,2000,1849,1841,1720,20398,
"Dobell",1860,1820,1868,1792,1701,1684,1702,1633,1563,1589,1535,18738,
"Eden-Monaro",1645,1647,1732,1477,1373,1274,1189,1215,1275,1236,1221,15285,
"Farrer",1882,1902,1947,1789,1642,1558,1576,1562,1517,1481,1559,18419,
"Fowler",1883,1841,1716,1723,1923,1899,1983,1900,1873,1760,1731,20229,
"Gilmore",1520,1570,1621,1437,1272,1230,1251,1174,1163,1157,1170,14564,
"Grayndler",927,960,898,785,926,1018,1236,1425,1606,1871,1861,13529,
"Greenway",1997,1933,1861,1784,1829,1712,1584,1567,1556,1475,1540,18834,
"Hughes",1744,1765,1800,1768,1643,1671,1676,1619,1522,1585,1513,18303,
"Hume",1959,1922,1829,1831,1685,1593,1633,1566,1543,1512,1541,18622,
"Hunter",1845,1877,1855,1856,1739,1639,1701,1714,1605,1665,1632,19139,
"Kingsford Smith",1283,1279,1257,1493,1622,1740,1717,1648,1707,1746,1691,17189,
"Lindsay",1942,1943,1886,1982,1949,1913,2100,2074,2046,2088,2162,22087,
"Lyne",1646,1720,1661,1442,1201,1072,1071,1053,1049,990,1016,13918,
"Macarthur",1956,1979,1919,1954,1950,1975,2032,2023,1959,1904,1973,21637,
"Mackellar",1656,1724,1643,1503,1411,1458,1362,1287,1217,1157,1110,15535,
"Macquarie",1819,1747,1808,1609,1691,1516,1560,1406,1418,1373,1401,17338,
"McMahon",1686,1823,1813,1864,1865,1939,1838,1917,1833,1936,1800,20308,
"Mitchell",1957,1884,1908,1782,1796,1785,1669,1534,1466,1381,1289,18458,
"New England",1869,1874,1823,1803,1675,1611,1585,1473,1518,1409,1420,18052,
"Newcastle",1457,1462,1504,1642,1945,2255,2253,2390,2213,2210,2087,21427,
"North Sydney",1393,1401,1438,1165,1076,1174,1225,1238,1343,1417,1470,14333,
"Page",1950,1826,2004,1716,1441,1360,1320,1264,1209,1282,1204,16584,
"Parkes",1717,1589,1630,1482,1450,1469,1450,1449,1537,1603,1660,17037,
"Parramatta",1452,1479,1435,1561,1436,1568,1524,1488,1543,1491,1612,16589,
"Paterson",1828,1849,1837,1727,1601,1604,1628,1701,1650,1707,1715,18848,
"Reid",1293,1405,1270,1405,1432,1462,1447,1446,1484,1524,1617,15799,
"Richmond",1576,1681,1618,1417,1170,1162,1106,1134,1017,1052,1024,13952,
