"Counting","CITP Australian Citizenship","CED (UR)","AGEP Age","Count",
"Persons, Place of Usual Residence","Australian","Aston","15",1484
"Persons, Place of Usual Residence","Australian","Aston","16",1647
"Persons, Place of Usual Residence","Australian","Aston","17",1601
"Persons, Place of Usual Residence","Australian","Aston","18",1646
"Persons, Place of Usual Residence","Australian","Aston","19",1632
"Persons, Place of Usual Residence","Australian","Aston","20",1705
"Persons, Place of Usual Residence","Australian","Aston","21",1688
"Persons, Place of Usual Residence","Australian","Aston","22",1666
"Persons, Place of Usual Residence","Australian","Aston","23",1634
"Persons, Place of Usual Residence","Australian","Aston","24",1554
"Persons, Place of Usual Residence","Australian","Aston","25",1457
"Persons, Place of Usual Residence","Australian","Aston","26",1444
"Persons, Place of Usual Residence","Australian","Aston","27",1391
"Persons, Place of Usual Residence","Australian","Aston","28",1356
"Persons, Place of Usual Residence","Australian","Aston","29",1288
"Persons, Place of Usual Residence","Australian","Aston","30",1437
"Persons, Place of Usual Residence","Australian","Ballarat","15",1777
"Persons, Place of Usual Residence","Australian","Ballarat","16",1777
"Persons, Place of Usual Residence","Australian","Ballarat","17",1910
"Persons, Place of Usual Residence","Australian","Ballarat","18",1814
"Persons, Place of Usual Residence","Australian","Ballarat","19",1779
"Persons, Place of Usual Residence","Australian","Ballarat","20",1845
"Persons, Place of Usual Residence","Australian","Ballarat","21",1938
"Persons, Place of Usual Residence","Australian","Ballarat","22",1788
"Persons, Place of Usual Residence","Australian","Ballarat","23",1683
"Persons, Place of Usual Residence","Australian","Ballarat","24",1674
"Persons, Place of Usual Residence","Australian","Ballarat","25",1688
"Persons, Place of Usual Residence","Australian","Ballarat","26",1645
"Persons, Place of Usual Residence","Australian","Ballarat","27",1535
"Persons, Place of Usual Residence","Australian","Ballarat","28",1546
"Persons, Place of Usual Residence","Australian","Ballarat","29",1506
"Persons, Place of Usual Residence","Australian","Ballarat","30",1540
"Persons, Place of Usual Residence","Australian","Batman","15",1154
"Persons, Place of Usual Residence","Australian","Batman","16",1218
"Persons, Place of Usual Residence","Australian","Batman","17",1148
"Persons, Place of Usual Residence","Australian","Batman","18",1253
"Persons, Place of Usual Residence","Australian","Batman","19",1509
"Persons, Place of Usual Residence","Australian","Batman","20",1574
"Persons, Place of Usual Residence","Australian","Batman","21",1702
"Persons, Place of Usual Residence","Australian","Batman","22",1668
"Persons, Place of Usual Residence","Australian","Batman","23",1701
"Persons, Place of Usual Residence","Australian","Batman","24",1818
"Persons, Place of Usual Residence","Australian","Batman","25",1815
"Persons, Place of Usual Residence","Australian","Batman","26",1909
"Persons, Place of Usual Residence","Australian","Batman","27",1893
"Persons, Place of Usual Residence","Australian","Batman","28",1951
"Persons, Place of Usual Residence","Australian","Batman","29",1977
"Persons, Place of Usual Residence","Australian","Batman","30",1991
"Persons, Place of Usual Residence","Australian","Bendigo","15",1708
"Persons, Place of Usual Residence","Australian","Bendigo","16",1681
"Persons, Place of Usual Residence","Australian","Bendigo","17",1722
"Persons, Place of Usual Residence","Australian","Bendigo","18",1688
"Persons, Place of Usual Residence","Australian","Bendigo","19",1624
"Persons, Place of Usual Residence","Australian","Bendigo","20",1664
"Persons, Place of Usual Residence","Australian","Bendigo","21",1808
"Persons, Place of Usual Residence","Australian","Bendigo","22",1620
"Persons, Place of Usual Residence","Australian","Bendigo","23",1582
"Persons, Place of Usual Residence","Australian","Bendigo","24",1569
"Persons, Place of Usual Residence","Australian","Bendigo","25",1465
"Persons, Place of Usual Residence","Australian","Bendigo","26",1472
"Persons, Place of Usual Residence","Australian","Bendigo","27",1400
"Persons, Place of Usual Residence","Australian","Bendigo","28",1432
