CED,AGEP,Citizens_ERP,Enrolled,Under_enrollment_n,Under_enrollment_proportion
Durack,25-29,12964,8281,4683,36.1%
Durack,30-34,13816,9711,4105,29.7%
Melbourne,20-24,13577,9699,3878,28.6%
Sydney,20-24,10529,7062,3467,32.9%
Durack,20-24,9517,6189,3328,35.0%
Sydney,25-29,18143,15323,2820,15.5%
Durack,40-44,12130,9389,2741,22.6%
Durack,35-39,12060,9390,2670,22.1%
Herbert,20-24,13674,11133,2541,18.6%
Melbourne,25-29,20195,17662,2533,12.5%
Ryan,18-19,5721,3275,2446,42.8%
Lingiari,20-24,8171,5796,2375,29.1%
Herbert,18-19,4906,2601,2305,47.0%
Melbourne,18-19,3689,1482,2207,59.8%
Durack,50-54,11620,9445,2175,18.7%
Brisbane,20-24,13745,11629,2116,15.4%
Melbourne Ports,25-29,12994,10975,2019,15.5%
Lingiari,18-19,2941,1017,1924,65.4%
Durack,45-49,11838,9965,1873,15.8%
Wakefield,18-19,4284,2479,1805,42.1%
Batman,20-24,9611,7927,1684,17.5%
Chisholm,18-19,3941,2293,1648,41.8%
Leichhardt,18-19,3730,2104,1626,43.6%
Wills,20-24,10727,9114,1613,15.0%
Canberra,18-19,5538,3932,1606,29.0%
Durack,18-19,3226,1622,1604,49.7%
Gorton,18-19,4571,2982,1589,34.8%
Melbourne Ports,20-24,8112,6525,1587,19.6%
Calwell,18-19,4679,3133,1546,33.0%
Kennedy,20-24,8248,6705,1543,18.7%
McEwen,18-19,5028,3506,1522,30.3%
Kingsford Smith,20-24,9907,8387,1520,15.3%
Leichhardt,20-24,9758,8274,1484,15.2%
Forde,18-19,3985,2510,1475,37.0%
Capricornia,20-24,9153,7690,1463,16.0%
Durack,55-59,10575,9121,1454,13.7%
Port Adelaide,18-19,3977,2524,1453,36.5%
Holt,18-19,4606,3155,1451,31.5%
Barker,18-19,3259,1811,1448,44.4%
Wright,18-19,4014,2568,1446,36.0%
Kennedy,18-19,3116,1674,1442,46.3%
Wakefield,20-24,11384,9947,1437,12.6%
Sydney,18-19,2462,1033,1429,58.0%
Blair,18-19,3889,2462,1427,36.7%
Ryan,20-24,12839,11413,1426,11.1%
Solomon,25-29,9088,7690,1398,15.4%
Rankin,18-19,4158,2793,1365,32.8%
Lalor,18-19,4496,3139,1357,30.2%
Griffith,20-24,12178,10833,1345,11.0%
Longman,18-19,3932,2592,1340,34.1%
Lingiari,25-29,9031,7691,1340,14.8%
Adelaide,18-19,3489,2152,1337,38.3%
Mayo,18-19,3160,1833,1327,42.0%
Cunningham,18-19,4248,2925,1323,31.1%
Oxley,18-19,3941,2624,1317,33.4%
La Trobe,18-19,4423,3124,1299,29.4%
Dawson,20-24,9413,8115,1298,13.8%
Ballarat,18-19,3942,2648,1294,32.8%
Brisbane,18-19,3701,2413,1288,34.8%
Perth,20-24,8347,7062,1285,15.4%
Higgins,20-24,9475,8192,1283,13.5%
Batman,18-19,3067,1786,1281,41.8%
Swan,20-24,10075,8799,1276,12.7%
Scullin,18-19,4108,2833,1275,31.0%
Solomon,20-24,7107,5832,1275,17.9%
Capricornia,25-29,9560,8299,1261,13.2%
Werriwa,18-19,4932,3681,1251,25.4%
Fowler,18-19,3972,2734,1238,31.2%
Kennedy,30-34,8350,7115,1235,14.8%
Dawson,18-19,3400,2188,1212,35.7%
Maribyrnong,18-19,3479,2273,1206,34.7%
Casey,18-19,3624,2419,1205,33.2%
Fenner,20-24,13648,12449,1199,8.8%
Lindsay,18-19,4333,3135,1198,27.6%
Fadden,18-19,3870,2673,1197,30.9%
Swan,18-19,3289,2094,1195,36.3%
