,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 - Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminate/Unknown - relate to enrolments for which the information is inconclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As at 30 June 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL,,,,,,,,,,,,,,,,,
NSW," 14,620 "," 128,303 "," 406,565 "," 407,458 "," 426,378 "," 429,784 "," 439,854 "," 456,623 "," 438,258 "," 446,257 "," 401,925 "," 365,711 "," 807,574 "," 5,169,310 ",,,,,,,,,,,,,,,,,
Banks, 324 ," 2,650 "," 8,314 "," 8,054 "," 8,264 "," 8,583 "," 8,788 "," 9,327 "," 9,333 "," 9,409 "," 8,008 "," 6,838 "," 17,188 "," 105,080 ",,,,,,,,,,,,,,,,,
Female, 162 ," 1,338 "," 4,079 "," 3,986 "," 4,098 "," 4,359 "," 4,557 "," 4,900 "," 4,821 "," 4,751 "," 4,092 "," 3,537 "," 9,716 "," 54,396 ",,,,,,,,,,,,,,,,,
Male, 162 ," 1,312 "," 4,234 "," 4,068 "," 4,165 "," 4,224 "," 4,231 "," 4,427 "," 4,512 "," 4,658 "," 3,916 "," 3,301 "," 7,472 "," 50,682 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Barton, 267 ," 2,327 "," 8,182 "," 9,011 "," 10,556 "," 10,033 "," 9,939 "," 9,946 "," 9,375 "," 8,499 "," 7,523 "," 6,697 "," 16,528 "," 108,883 ",,,,,,,,,,,,,,,,,
Female, 129 ," 1,154 "," 4,032 "," 4,506 "," 5,262 "," 4,900 "," 4,968 "," 5,076 "," 4,771 "," 4,342 "," 3,851 "," 3,428 "," 8,876 "," 55,295 ",,,,,,,,,,,,,,,,,
Male, 138 ," 1,173 "," 4,150 "," 4,503 "," 5,292 "," 5,133 "," 4,971 "," 4,870 "," 4,604 "," 4,157 "," 3,672 "," 3,269 "," 7,651 "," 53,583 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 2 , 2 , - , - , - , - , - , - , - , 1 , 5 ,,,,,,,,,,,,,,,,,
Bennelong, 382 ," 2,584 "," 8,676 "," 8,277 "," 8,935 "," 9,443 "," 9,109 "," 9,486 "," 9,560 "," 8,962 "," 7,946 "," 6,632 "," 15,964 "," 105,956 ",,,,,,,,,,,,,,,,,
Female, 203 ," 1,230 "," 4,219 "," 3,969 "," 4,400 "," 4,671 "," 4,643 "," 5,012 "," 4,901 "," 4,595 "," 4,115 "," 3,365 "," 9,024 "," 54,347 ",,,,,,,,,,,,,,,,,
Male, 179 ," 1,352 "," 4,456 "," 4,307 "," 4,534 "," 4,771 "," 4,466 "," 4,473 "," 4,658 "," 4,367 "," 3,831 "," 3,266 "," 6,940 "," 51,600 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 2 , 1 , 1 , 1 , 1 , - , 1 , 1 , - , - , 1 , - , 9 ,,,,,,,,,,,,,,,,,
Berowra, 529 ," 3,347 "," 9,366 "," 6,842 "," 5,882 "," 7,343 "," 9,173 "," 10,264 "," 10,148 "," 10,129 "," 8,556 "," 7,364 "," 16,316 "," 105,259 ",,,,,,,,,,,,,,,,,
Female, 261 ," 1,631 "," 4,507 "," 3,264 "," 2,937 "," 3,878 "," 4,778 "," 5,438 "," 5,277 "," 5,184 "," 4,334 "," 3,728 "," 8,788 "," 54,005 ",,,,,,,,,,,,,,,,,
Male, 268 ," 1,716 "," 4,858 "," 3,578 "," 2,945 "," 3,465 "," 4,394 "," 4,826 "," 4,871 "," 4,945 "," 4,221 "," 3,636 "," 7,528 "," 51,251 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , 1 , - , - , - , 1 , - , - , 3 ,,,,,,,,,,,,,,,,,
Blaxland, 269 ," 2,993 "," 9,833 "," 9,447 "," 9,671 "," 9,163 "," 8,813 "," 8,950 "," 8,811 "," 8,837 "," 7,554 "," 6,209 "," 14,011 "," 104,561 ",,,,,,,,,,,,,,,,,
Female, 134 ," 1,487 "," 4,880 "," 4,783 "," 4,888 "," 4,507 "," 4,384 "," 4,526 "," 4,310 "," 4,379 "," 3,782 "," 3,079 "," 7,469 "," 52,608 ",,,,,,,,,,,,,,,,,
Male, 135 ," 1,506 "," 4,952 "," 4,664 "," 4,783 "," 4,656 "," 4,429 "," 4,424 "," 4,501 "," 4,458 "," 3,772 "," 3,130 "," 6,541 "," 51,951 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , 1 , 2 ,,,,,,,,,,,,,,,,,
